Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %,Throughput,Received KB/sec,Sent KB/sec
PLI_User_TC01/-1,209,244,237,244,246,293,221,1818,0.000%,.05830,0.29,0.04
PLI_User_TC01_Launch_Page,209,244,237,244,246,293,221,1818,0.000%,.05830,0.29,0.04
PLI_User_TC02/api/v1/login-20,209,260,227,231,232,1297,213,2001,0.000%,.05833,0.02,0.06
PLI_User_TC02/api/v1/login-21,209,243,241,252,269,283,225,310,0.000%,.05835,0.09,0.07
PLI_User_TC02/api/v1/projects-29,209,230,227,231,232,235,213,1150,0.000%,.05835,0.02,0.07
PLI_User_TC02/api/v1/projects-30,1,907,907,907,907,907,907,907,0.000%,1.10254,3.92,1.49
PLI_User_TC02_Login_Page,209,738,697,719,742,2056,652,2635,0.000%,.05832,0.13,0.20
PLI_User_TC03/api/v1/menuItems?projectNumber=4321&stateKey=setUpInProgress-63,209,226,227,231,232,243,213,295,0.000%,.05836,0.02,0.07
PLI_User_TC03/api/v1/menuItems-64,1,514,514,514,514,514,514,514,0.000%,1.94553,1.96,2.72
PLI_User_TC03/api/v1/projectSetup?projectNumber=4321&menuId=76564cfa-f3ab-4c58-a545-b4f79c6ed143-72,209,231,228,232,233,239,214,1219,0.000%,.05837,0.02,0.07
PLI_User_TC03/api/v1/project/nonlaminaroutputs/list?projectNumber=4321&submenuId=eabf4e34-33a7-43bc-a578-a346e984b16b-73,209,226,227,231,232,234,213,236,0.000%,.05837,0.02,0.07
PLI_User_TC03/api/v1/project/nonlaminaroutputs/list-76,1,428,428,428,428,428,428,428,0.000%,2.33645,2.30,3.37
PLI_User_TC03/api/v1/projectSetup-77,1,859,859,859,859,859,859,859,0.000%,1.16414,2.49,1.66
PLI_User_TC03_ProjectsetupHome_Page,209,693,683,694,697,750,641,2502,0.000%,.05835,0.06,0.21
PLI_User_TC04/api/v1/menuItems?projectNumber=4321&menuId=5fcd1674-7760-4df0-84ac-2ea780dfc3f5-92,209,226,228,232,232,235,213,237,0.000%,.05839,0.02,0.07
PLI_User_TC04/api/v1/menuItems?projectNumber=4321&stateKey=setUpInProgress-91,209,239,227,231,232,235,213,2003,0.000%,.05839,0.02,0.07
PLI_User_TC04/api/v1/menuItems-93,1,528,528,528,528,528,528,528,0.000%,1.89394,2.01,2.69
PLI_User_TC04/api/v1/projectForm?projectNumber=4321&menuId=5fcd1674-7760-4df0-84ac-2ea780dfc3f5&submenuId=e74da6c2-d017-4cf8-b019-d1ba74ceea36-95,209,243,227,231,232,1198,214,1578,0.000%,.05840,0.02,0.07
PLI_User_TC04/api/v1/projectForm-99,1,372,372,372,372,372,372,372,0.000%,2.68817,5.20,3.94
PLI_User_TC04/api/v1/projectForm?projectNumber=4321&menuId=5fcd1674-7760-4df0-84ac-2ea780dfc3f5&submenuId=cc7a226d-0778-43b5-8035-d4fe2dd3535b-111,209,226,227,231,232,236,214,238,0.000%,.05841,0.02,0.07
PLI_User_TC04/api/v1/projectForm-113,1,318,318,318,318,318,318,318,0.000%,3.14465,4.69,4.61
PLI_User_TC04/api/v1/projectForm?projectNumber=4321&menuId=5fcd1674-7760-4df0-84ac-2ea780dfc3f5&submenuId=231bf9f1-1205-4ee7-b911-16c27190d692-147,209,232,227,231,232,234,213,1466,0.000%,.05841,0.02,0.07
PLI_User_TC04/api/v1/projectForm-148,1,337,337,337,337,337,337,337,0.000%,2.96736,4.00,4.35
PLI_User_TC04/api/v1/projectForm-151,1,327,327,327,327,327,327,327,0.000%,3.05810,3.10,4.49
PLI_User_TC04/api/v1/projectForm?projectNumber=4321&menuId=5fcd1674-7760-4df0-84ac-2ea780dfc3f5&submenuId=d8067773-1910-4fcf-a541-3699c7a65795-153,209,232,227,231,233,240,213,1578,0.000%,.05842,0.02,0.07
PLI_User_TC04/api/v1/projectForm-154,1,308,308,308,308,308,308,308,0.000%,3.24675,4.34,4.76
PLI_User_TC04/api/v1/projectForm?projectNumber=4321&menuId=5fcd1674-7760-4df0-84ac-2ea780dfc3f5&submenuId=3d7c7c2f-5f0f-41e6-bd74-9829cd2c83be-155,209,226,227,231,232,235,213,236,0.000%,.05843,0.02,0.07
PLI_User_TC04/api/v1/projectForm-156,1,341,341,341,341,341,341,341,0.000%,2.93255,3.16,4.30
PLI_User_TC04/api/v1/projectForm?projectNumber=4321&menuId=5fcd1674-7760-4df0-84ac-2ea780dfc3f5&submenuId=c14bc2c1-30d7-48bd-9e54-a887f1876d35-157,209,234,227,231,232,239,213,1746,0.000%,.05843,0.02,0.07
PLI_User_TC04/static/media/icon-loading.0f0a4fde.svg-158,209,299,241,249,268,1600,224,1969,0.000%,.05843,0.08,0.04
PLI_User_TC04/api/v1/projectForm-159,1,315,315,315,315,315,315,315,0.000%,3.17460,3.24,4.66
PLI_User_TC04/api/v1/projectForm?projectNumber=4321&menuId=5fcd1674-7760-4df0-84ac-2ea780dfc3f5&submenuId=74aa0c47-ae01-48f8-b792-e34e589232d9-160,209,244,227,231,232,1243,213,1700,0.000%,.05844,0.02,0.07
PLI_User_TC04/api/v1/projectForm-161,1,318,318,318,318,318,318,318,0.000%,3.14465,2.95,4.61
PLI_User_TC04/api/v1/projectForm?projectNumber=4321&menuId=5fcd1674-7760-4df0-84ac-2ea780dfc3f5&submenuId=caa43011-0068-453f-bcf4-2a32add1aed0-162,209,232,227,231,232,234,213,1433,0.000%,.05845,0.02,0.07
PLI_User_TC04/api/v1/projectForm-163,1,313,313,313,313,313,313,313,0.000%,3.19489,3.89,4.69
PLI_User_TC04/api/v1/projectForm?projectNumber=4321&menuId=5fcd1674-7760-4df0-84ac-2ea780dfc3f5&submenuId=1d07757b-ab59-42e2-9be2-410d297428a3-164,209,226,227,231,232,236,213,275,0.000%,.05845,0.02,0.07
PLI_User_TC04/api/v1/projectForm-165,1,353,353,353,353,353,353,353,0.000%,2.83286,5.09,4.16
PLI_User_TC04_ProjectInformation_Page,209,2882,2745,2905,4074,4970,2595,6634,0.000%,.05835,0.29,0.83
PLI_User_TC05/api/v1/menuItems?projectNumber=4321&stateKey=setUpInProgress-171,209,226,227,231,233,245,213,329,0.000%,.05846,0.02,0.07
PLI_User_TC05/api/v1/menuItems?projectNumber=4321&menuId=237a56bc-ec95-41aa-a7dd-d0763d233e55-172,209,226,227,232,233,234,213,234,0.000%,.05846,0.02,0.07
PLI_User_TC05/api/v1/menuItems-174,1,500,500,500,500,500,500,500,0.000%,2.00000,1.82,2.84
PLI_User_TC05/api/v1/projectSpecificDoc?projectNumber=4321&submenuId=dc316bef-3a90-44f5-b542-e4025f9d5452&rights=2-175,209,233,227,231,233,244,213,1810,0.000%,.05846,0.02,0.07
PLI_User_TC05/api/v1/projectSpecificDoc-177,1,304,304,304,304,304,304,304,0.000%,3.28947,6.88,4.74
PLI_User_TC05/api/v1/categoryProjectSpecificDoc?projectNumber=4321&submenuId=dc316bef-3a90-44f5-b542-e4025f9d5452-179,209,226,227,231,232,234,213,277,0.000%,.05847,0.02,0.07
PLI_User_TC05/api/v1/categoryProjectSpecificDoc-180,1,246,246,246,246,246,246,246,0.000%,4.06504,8.75,5.85
PLI_User_TC05/api/v1/categoryProjectSpecificDoc?projectNumber=4321&submenuId=02a97c7d-f4fb-486c-ac97-df29d8497dd4-183,209,226,227,231,232,237,213,238,0.000%,.05847,0.02,0.07
PLI_User_TC05/api/v1/projectSpecificDoc?projectNumber=4321&submenuId=02a97c7d-f4fb-486c-ac97-df29d8497dd4&rights=2-182,209,232,227,231,232,233,213,1570,0.000%,.05847,0.02,0.07
PLI_User_TC05/api/v1/categoryProjectSpecificDoc-184,1,241,241,241,241,241,241,241,0.000%,4.14938,1.74,5.97
PLI_User_TC05/api/v1/projectSpecificDoc-185,1,261,261,261,261,261,261,261,0.000%,3.83142,4.24,5.52
PLI_User_TC05/api/v1/categoryProjectSpecificDoc?projectNumber=4321&submenuId=c63294b8-d724-422c-aef4-40c28a25c6b6-188,209,234,227,231,232,234,213,1999,0.000%,.05848,0.02,0.07
PLI_User_TC05/api/v1/projectSpecificDoc?projectNumber=4321&submenuId=c63294b8-d724-422c-aef4-40c28a25c6b6&rights=2-187,209,226,227,232,233,235,213,242,0.000%,.05848,0.02,0.07
PLI_User_TC05/api/v1/categoryProjectSpecificDoc-189,1,240,240,240,240,240,240,240,0.000%,4.16667,1.75,5.99
PLI_User_TC05/api/v1/projectSpecificDoc-190,1,303,303,303,303,303,303,303,0.000%,3.30033,8.14,4.75
