Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %,Throughput,Received KB/sec,Sent KB/sec
PLI_User_TC01/-1,24142,238,227,235,238,896,214,2132,0.000%,6.70598,32.98,4.82
PLI_User_TC01_Launch_Page,24142,238,227,235,238,896,214,2132,0.000%,6.70580,32.98,4.82
PLI_User_TC02/api/v1/login-20,24139,232,222,229,231,889,211,1473,0.000%,6.71004,2.17,7.22
PLI_User_TC02/api/v1/login-21,24139,233,232,240,244,271,219,1286,0.000%,6.71231,10.57,8.26
PLI_User_TC02/api/v1/projects-29,24139,222,222,229,230,235,211,1311,0.000%,6.71235,2.18,7.59
PLI_User_TC02/api/v1/projects-30,10,699,628,903,903,955,517,955,0.000%,3.07598,5.79,4.07
PLI_User_TC02_Login_Page,24136,687,676,698,705,1346,642,2925,0.000%,6.70869,14.91,23.06
PLI_User_TC03/api/v1/menuItems?projectNumber=4321&stateKey=setUpInProgress-63,24136,8,0,0,0,227,0,1535,96.433%,6.71343,8.20,0.28
PLI_User_TC03_ProjectsetupHome_Page,24136,24,0,1,1,681,0,3636,96.433%,6.71342,8.36,0.86
PLI_User_TC03/api/v1/menuItems-64,4,796,568,1063,1063,1063,512,1063,0.000%,2.50156,2.53,3.50
PLI_User_TC03/api/v1/projectSetup?projectNumber=4321&menuId=76564cfa-f3ab-4c58-a545-b4f79c6ed143-72,861,225,223,230,231,238,213,913,0.000%,.23992,0.08,0.29
PLI_User_TC03/api/v1/project/nonlaminaroutputs/list?projectNumber=4321&submenuId=eabf4e34-33a7-43bc-a578-a346e984b16b-73,861,228,223,230,231,257,212,1512,0.000%,.23992,0.08,0.29
PLI_User_TC03/api/v1/project/nonlaminaroutputs/list-76,4,397,378,463,463,463,311,463,0.000%,4.19727,4.14,6.04
PLI_User_TC03/api/v1/projectSetup-77,4,1461,1462,1544,1544,1544,1310,1544,0.000%,2.04918,4.37,2.91
PLI_User_TC04/api/v1/menuItems?projectNumber=4321&menuId=5fcd1674-7760-4df0-84ac-2ea780dfc3f5-92,861,229,223,230,232,249,212,1263,0.000%,.24005,0.08,0.29
PLI_User_TC04/api/v1/menuItems?projectNumber=4321&stateKey=setUpInProgress-91,861,224,223,230,231,236,212,920,0.000%,.24005,0.08,0.28
PLI_User_TC04/api/v1/menuItems-93,4,561,545,639,639,639,471,639,0.000%,3.96825,4.21,5.62
PLI_User_TC04/api/v1/projectForm?projectNumber=4321&menuId=5fcd1674-7760-4df0-84ac-2ea780dfc3f5&submenuId=e74da6c2-d017-4cf8-b019-d1ba74ceea36-95,861,224,223,230,231,236,213,910,0.000%,.24008,0.08,0.30
PLI_User_TC04/api/v1/projectForm-99,4,330,316,371,371,371,309,371,0.000%,4.77327,9.21,6.99
PLI_User_TC04/api/v1/projectForm?projectNumber=4321&menuId=5fcd1674-7760-4df0-84ac-2ea780dfc3f5&submenuId=cc7a226d-0778-43b5-8035-d4fe2dd3535b-111,861,224,223,230,232,240,213,892,0.000%,.24010,0.08,0.30
PLI_User_TC04/api/v1/projectForm-113,4,325,321,333,333,333,316,333,0.000%,4.75059,7.08,6.96
PLI_User_TC04/api/v1/projectForm?projectNumber=4321&menuId=5fcd1674-7760-4df0-84ac-2ea780dfc3f5&submenuId=231bf9f1-1205-4ee7-b911-16c27190d692-147,861,226,223,230,232,248,212,907,0.000%,.24012,0.08,0.30
PLI_User_TC04/api/v1/projectForm-148,4,309,305,327,327,327,299,327,0.000%,4.81928,6.50,7.06
PLI_User_TC04/api/v1/projectForm-151,4,318,308,337,337,337,305,337,0.000%,4.76190,4.84,6.97
PLI_User_TC04/api/v1/projectForm?projectNumber=4321&menuId=5fcd1674-7760-4df0-84ac-2ea780dfc3f5&submenuId=d8067773-1910-4fcf-a541-3699c7a65795-153,861,227,223,230,231,251,212,1340,0.000%,.24017,0.08,0.30
PLI_User_TC04/api/v1/projectForm-154,4,311,309,324,324,324,297,324,0.000%,4.96278,6.63,7.27
PLI_User_TC04/api/v1/projectForm?projectNumber=4321&menuId=5fcd1674-7760-4df0-84ac-2ea780dfc3f5&submenuId=3d7c7c2f-5f0f-41e6-bd74-9829cd2c83be-155,861,224,223,230,232,238,213,927,0.000%,.24019,0.08,0.30
PLI_User_TC04/api/v1/projectForm-156,4,309,306,323,323,323,299,323,0.000%,4.94438,5.33,7.24
PLI_User_TC04/api/v1/projectForm?projectNumber=4321&menuId=5fcd1674-7760-4df0-84ac-2ea780dfc3f5&submenuId=c14bc2c1-30d7-48bd-9e54-a887f1876d35-157,861,224,223,230,231,236,212,944,0.000%,.24021,0.08,0.30
PLI_User_TC04/static/media/icon-loading.0f0a4fde.svg-158,861,245,234,242,246,261,215,2010,0.000%,.24021,0.33,0.17
PLI_User_TC04/api/v1/projectForm-159,4,307,306,312,312,312,301,312,0.000%,5.05051,5.16,7.40
PLI_User_TC04/api/v1/projectForm?projectNumber=4321&menuId=5fcd1674-7760-4df0-84ac-2ea780dfc3f5&submenuId=74aa0c47-ae01-48f8-b792-e34e589232d9-160,861,227,223,230,231,240,212,1268,0.000%,.24024,0.08,0.30
PLI_User_TC04/api/v1/projectForm-161,4,307,307,311,311,311,302,311,0.000%,5.06971,4.75,7.42
PLI_User_TC04/api/v1/projectForm?projectNumber=4321&menuId=5fcd1674-7760-4df0-84ac-2ea780dfc3f5&submenuId=caa43011-0068-453f-bcf4-2a32add1aed0-162,861,231,223,230,232,258,213,1499,0.000%,.24026,0.08,0.30
PLI_User_TC04/api/v1/projectForm-163,4,334,320,379,379,379,309,379,0.000%,4.70588,5.71,6.89
PLI_User_TC04/api/v1/projectForm?projectNumber=4321&menuId=5fcd1674-7760-4df0-84ac-2ea780dfc3f5&submenuId=1d07757b-ab59-42e2-9be2-410d297428a3-164,861,229,223,230,231,242,212,1800,0.000%,.24028,0.08,0.30
PLI_User_TC04/api/v1/projectForm-165,4,315,316,323,323,323,304,323,0.000%,5.10856,9.18,7.48
PLI_User_TC04_ProjectInformation_Page,861,2756,2696,2773,2926,4258,2571,6550,0.000%,.23988,1.20,3.43
PLI_User_TC05/api/v1/menuItems?projectNumber=4321&stateKey=setUpInProgress-171,861,227,223,230,231,241,213,1458,0.000%,.24031,0.08,0.28
PLI_User_TC05/api/v1/menuItems?projectNumber=4321&menuId=237a56bc-ec95-41aa-a7dd-d0763d233e55-172,861,229,223,230,231,243,212,1302,0.000%,.24031,0.08,0.29
PLI_User_TC05/api/v1/menuItems-174,4,497,489,529,529,529,469,529,0.000%,4.19287,3.83,5.94
PLI_User_TC05/api/v1/projectSpecificDoc?projectNumber=4321&submenuId=dc316bef-3a90-44f5-b542-e4025f9d5452&rights=2-175,861,226,223,230,231,240,213,999,0.000%,.24034,0.08,0.29
PLI_User_TC05/api/v1/projectSpecificDoc-177,4,267,268,277,277,277,253,277,0.000%,5.31208,11.11,7.63
PLI_User_TC05/api/v1/categoryProjectSpecificDoc?projectNumber=4321&submenuId=dc316bef-3a90-44f5-b542-e4025f9d5452-179,861,226,223,230,231,244,212,928,0.000%,.24036,0.08,0.29
PLI_User_TC05/api/v1/categoryProjectSpecificDoc-180,4,241,241,244,244,244,236,244,0.000%,5.61010,12.04,8.06
PLI_User_TC05/api/v1/categoryProjectSpecificDoc?projectNumber=4321&submenuId=02a97c7d-f4fb-486c-ac97-df29d8497dd4-183,861,228,223,230,231,248,213,1428,0.000%,.24038,0.08,0.29
PLI_User_TC05/api/v1/projectSpecificDoc?projectNumber=4321&submenuId=02a97c7d-f4fb-486c-ac97-df29d8497dd4&rights=2-182,861,226,223,230,231,237,213,1777,0.000%,.24038,0.08,0.29
PLI_User_TC05/api/v1/categoryProjectSpecificDoc-184,4,348,236,685,685,685,230,685,0.000%,4.08580,1.71,5.87
PLI_User_TC05/api/v1/projectSpecificDoc-185,4,384,255,758,758,758,250,758,0.000%,3.95257,4.37,5.68
PLI_User_TC05/api/v1/categoryProjectSpecificDoc?projectNumber=4321&submenuId=c63294b8-d724-422c-aef4-40c28a25c6b6-188,861,228,223,230,231,246,212,1510,0.000%,.24042,0.08,0.29
PLI_User_TC05/api/v1/projectSpecificDoc?projectNumber=4321&submenuId=c63294b8-d724-422c-aef4-40c28a25c6b6&rights=2-187,861,224,223,230,231,240,212,1160,0.000%,.24042,0.08,0.29
PLI_User_TC05/api/v1/categoryProjectSpecificDoc-189,4,237,238,239,239,239,232,239,0.000%,4.63499,1.94,6.66
PLI_User_TC05/api/v1/projectSpecificDoc-190,4,264,262,271,271,271,258,271,0.000%,4.47427,11.04,6.43
PLI_User_TC05/api/v1/projectSpecificDoc?projectNumber=4321&submenuId=108fe798-22a3-4800-b2d7-313332bd7f15&rights=2-191,861,229,223,230,231,250,213,1186,0.000%,.24045,0.08,0.29
PLI_User_TC05/api/v1/projectSpecificDoc-192,4,262,260,270,270,270,257,270,0.000%,4.39560,5.60,6.32
PLI_User_TC05/api/v1/projectSpecificDoc?projectNumber=4321&submenuId=467479d7-c166-4ee8-81ad-20c92b4bd85a&rights=2-194,861,228,223,230,232,249,213,1362,0.000%,.24047,0.08,0.29
